,Name,0,1,2,3,4,5,6,7,cluster
141,참치덮밥,0.100399172,0.264758083,0.171764706,0.000634337,0.153435071,0.00260262,0.109498232,0.010173031,1
142,참치마요네즈 삼각김밥,0.025487877,0.082182267,0.023176471,0.000121332,0.026739336,1.74672E-05,0.004170371,0.001789976,0
143,충무김밥,0.086329095,0.280782982,0.137764706,0.00022598,0.122679621,0.0150131,0.148327123,0.003281623,1
144,캘리포니아롤,0.072093436,0.229518739,0.072529412,0.000343141,0.122832227,0.007772926,0.062375882,0.006384248,1
145,한치초밥,0.055319338,0.200426988,0.080647059,3.22287E-05,0.113678673,0.011467249,0.094622964,0.001342482,1
146,해물덮밥,0.1141233,0.25837899,0.247294118,0.000850838,0.170870142,0.001039301,0.270686362,0.016139618,3
147,해물볶음밥,0.104260792,0.232682563,0.147647059,0.001023735,0.101834123,0.001065502,0.228661131,0.016050119,3
148,회덮밥,0.100978711,0.265709803,0.177705882,0.000627512,0.070546919,0.009545852,0.083832958,0.008651551,1
149,깻잎나물볶음,0.030455352,0.029580472,0.044117647,0.000545992,0.098832227,0.000524017,0,0.005071599,0
150,돼지고기볶음,0.051843584,0.046840034,0.135058824,0.000783726,0.099692891,0.007161572,0.054725474,0.015274463,2
151,돼지껍데기볶음,0.052040213,0.063019266,0.151764706,0.000633199,0.07391564,0.004803493,0.045155372,0.014618138,2
152,두부김치,0.042609403,0.036216786,0.114529412,0.000648745,0.093809479,0.00130131,0.013163618,0.009457041,2
153,머위나물볶음,0.015966884,0.019548834,0.020588235,0.000265413,0.068116588,0.001572052,0,0.002386635,0
154,멸치풋고추볶음,0.007743938,0.008771253,0.027352941,8.49321E-05,0.026117536,0.001248908,0.034611238,0.001163484,0
155,소세지볶음,0.069633353,0.081796435,0.110588235,0.001133692,0.136119431,0.007772926,0.056985607,0.026252983,2
156,순대볶음,0.086043761,0.197288885,0.121764706,0.000807614,0.14221327,0.004716157,0.134019254,0.015214797,1
157,양송이버섯볶음,0.020106446,0.028294364,0.026470588,0.000314704,0.04883128,0.001048035,0,0.004176611,0
158,오삼불고기,0.05366647,0.052730406,0.150588235,0.000754531,0.083894787,0.006637555,0.174436858,0.015513126,3
159,주꾸미볶음,0.031255174,0.058697945,0.107823529,0.000197164,0.087095735,0.004419214,0.189851153,0.001819809,3
160,표고버섯볶음,0.020993495,0.040640996,0.026470588,0.000254038,0.054483412,0.002270742,0,0.002386635,0
161,해물볶음,0.061954465,0.082825321,0.224705882,0.000580117,0.166365877,0.006462882,0.31168082,0.006264916,3
162,곰보빵,0.041002365,0.108444582,0.037117647,0.000351483,0.019170616,0.010244541,0.022308172,0.013812649,1
163,만주,0.032893258,0.120379659,0.030176471,6.21825E-05,0.011202844,0.019606987,0.014818527,0.002714797,1
164,버터크림빵,0.033997635,0.071353242,0.028882353,0.000418594,0.018121327,0.006279476,0.016842245,0.025178998,0
165,불고기피자,0.074659965,0.157419554,0.161176471,0.000633199,0.086907109,0.008034934,0.043216765,0.02774463,1
