,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO,식품명,지역 / 제조사,,1회제공량,단위,에너지(㎉),탄수화물(g),단백질(g),지방(g),나트륨(㎎),총당류(g),콜레스테롤(㎎),총 포화 지방산(g),총내용량(g),총내용량(mL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,카페인(㎎),,
37,우거지해장국,,우거지해장국,600.00 ,g,154.38 ,13.50 ,11.90 ,5.90 ,2049.59 ,2.50 ,22.37 ,1.20 ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,
38,우렁된장국,,우렁된장국,500.00 ,g,245.00 ,19.20 ,24.60 ,7.70 ,2134.21 ,3.60 ,105.38 ,1.10 ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,
39,탕국,,탕국,250.00 ,g,92.15 ,0.24 ,13.18 ,4.27 ,656.75 ,0.08 ,30.12 ,1.01 ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,
40,홍합미역국,,홍합미역국,650.00 ,g,167.00 ,11.60 ,19.70 ,4.70 ,2043.68 ,0.00 ,58.40 ,0.90 ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,
41,황태해장국,,황태해장국,600.00 ,g,181.70 ,5.70 ,24.50 ,6.80 ,1533.09 ,1.50 ,150.30 ,1.10 ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,
42,고추잡채,,고추잡채,200.00 ,g,256.77 ,26.17 ,10.99 ,12.01 ,828.55 ,2.09 ,39.26 ,2.11 ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,
43,난자완스,,난자완스,200.00 ,g,346.25 ,19.15 ,21.63 ,20.35 ,703.23 ,0.49 ,76.76 ,4.59 ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,
44,도토리묵말이,,도토리묵말이,1300.00 ,g,462.39 ,89.70 ,6.80 ,8.50 ,3206.03 ,6.30 ,0.00 ,1.20 ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,
45,라조기,,라조기,200.00 ,g,398.99 ,26.23 ,20.66 ,23.49 ,648.52 ,0.15 ,90.58 ,5.15 ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,
46,물회,,물회,700.00 ,g,529.36 ,55.30 ,34.40 ,18.90 ,2095.90 ,20.00 ,120.26 ,2.80 ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,
47,생선물회,,생선물회,800.00 ,g,577.97 ,82.50 ,34.30 ,12.30 ,2779.74 ,52.00 ,101.88 ,2.00 ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,
48,소고기샤브샤브,,소고기샤브샤브,600.00 ,g,263.75 ,14.70 ,29.10 ,9.80 ,1122.40 ,2.40 ,76.02 ,3.70 ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,
49,오징어순대,,오징어순대,350.00 ,g,466.86 ,58.30 ,45.70 ,5.60 ,1258.71 ,0.40 ,517.44 ,1.40 ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,
50,초당순두부,,초당순두부,900.00 ,g,522.69 ,15.80 ,49.10 ,29.20 ,1203.36 ,0.90 ,0.00 ,3.80 ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,
51,해파리냉채,,해파리냉채,150.00 ,g,91.00 ,13.40 ,6.20 ,1.40 ,508.77 ,11.40 ,40.33 ,0.30 ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,
52,고들빼기,,고들빼기,50.00 ,g,55.53 ,10.93 ,1.58 ,0.61 ,742.43 ,2.84 ,2.98 ,0.07 ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,
53,열무얼갈이김치,,열무얼갈이김치,50.00 ,g,17.68 ,2.61 ,1.07 ,0.33 ,339.90 ,0.46 ,1.03 ,0.04 ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,
54,미나리나물,,미나리나물,50.00 ,g,29.53 ,2.24 ,1.02 ,1.83 ,150.33 ,0.00 ,0.00 ,0.25 ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,
55,취나물,,취나물,50.00 ,g,74.10 ,3.31 ,1.37 ,6.15 ,281.86 ,0.00 ,0.00 ,0.84 ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,
56,콩나물,,콩나물,50.00 ,g,25.34 ,0.94 ,1.68 ,1.65 ,213.95 ,0.02 ,0.00 ,0.22 ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,
57,경단(깨),,경단(깨),100.00 ,g,319.47 ,74.22 ,4.44 ,0.54 ,180.00 ,26.64 ,0.00 ,0.46 ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,
58,경단(콩),,경단(콩),100.00 ,g,314.32 ,74.03 ,3.51 ,0.46 ,225.83 ,20.55 ,0.00 ,0.19 ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,
59,기피편,,기피편,100.00 ,g,219.97 ,48.99 ,5.45 ,0.25 ,281.06 ,2.08 ,0.00 ,0.13 ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,
60,녹두시루떡,,녹두시루떡,100.00 ,g,246.07 ,48.08 ,7.74 ,2.53 ,263.66 ,4.05 ,0.00 ,0.52 ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,
61,메밀전병,,메밀전병,100.00 ,g,167.83 ,21.62 ,6.18 ,6.29 ,345.80 ,0.62 ,8.05 ,1.19 ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,
62,무지개떡,,무지개떡,100.00 ,g,228.97 ,53.01 ,3.53 ,0.31 ,276.82 ,8.99 ,0.00 ,0.16 ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,
63,송편(깨),,송편(깨),100.00 ,g,224.15 ,44.96 ,4.92 ,2.74 ,231.82 ,1.15 ,0.00 ,0.48 ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,
64,송편(콩),,송편(콩),100.00 ,g,194.33 ,41.66 ,5.24 ,0.75 ,233.50 ,1.26 ,0.00 ,0.24 ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,
65,수수부꾸미,,수수부꾸미,100.00 ,g,247.89 ,42.10 ,5.73 ,6.29 ,261.00 ,0.24 ,0.00 ,0.97 ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,
66,수수팥떡,,수수팥떡,100.00 ,g,204.24 ,43.03 ,6.70 ,0.59 ,241.93 ,2.82 ,0.00 ,0.16 ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,
67,시루떡,,시루떡,100.00 ,g,217.48 ,47.54 ,5.47 ,0.61 ,277.91 ,3.22 ,0.00 ,0.24 ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,
68,쑥떡,,쑥떡,100.00 ,g,248.63 ,57.89 ,3.36 ,0.40 ,254.32 ,10.72 ,0.00 ,0.20 ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,
69,절편,,절편,100.00 ,g,192.89 ,43.94 ,3.64 ,0.28 ,265.87 ,0.07 ,0.03 ,0.19 ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,
70,찹쌀떡,,찹쌀떡,100.00 ,g,276.87 ,65.61 ,3.26 ,0.15 ,225.61 ,17.54 ,0.00 ,0.15 ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,
71,간자장,,간자장,650.00 ,g,824.54 ,134.22 ,22.33 ,22.03 ,2716.20 ,12.16 ,28.73 ,9.71 ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,
72,굴짬뽕,,굴짬뽕,900.00 ,g,680.67 ,115.69 ,32.87 ,9.60 ,2662.35 ,1.70 ,163.31 ,1.41 ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,
73,기스면,,기스면,1000.00 ,g,606.93 ,89.79 ,37.82 ,10.72 ,2764.59 ,0.50 ,416.54 ,2.12 ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,
74,김치라면,,김치라면,650.00 ,g,552.00 ,86.20 ,13.80 ,16.90 ,2531.60 ,1.20 ,45.65 ,6.80 ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,
